"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Use","Purpose of Use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Renovation","Transactional factors"
5724,"Residential Land(Land and Building)","Residential Area","13117","Tokyo","Kita Ward","Kamiya","Shimo","11",33000000,"","55",,"Semi-rectangular Shaped","5.9","95","1965","W","","House","South","Ward Road",7.9,"Quasi-industrial Zone",60,200,"2nd quarter 2023","",""
5725,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Kamiya","Shimo","5",27000000,"2LDK","70",,"","","","1981","SRC","House","House","","",,"Industrial Zone",60,400,"2nd quarter 2023","",""
5726,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Kamiya","Shimo","5",21000000,"2LDK","55",,"","","","1981","SRC","House","Other","","",,"Industrial Zone",60,400,"1st quarter 2023","Not yet",""
5727,"Residential Land(Land Only)","Residential Area","13117","Tokyo","Kita Ward","Kamiya","Higashijujo","10",21000000,"","50",420000,"Rectangular Shaped","5.0","","","","","Other","West","Ward Road",5.7,"Category I Residential Zone",60,200,"2nd quarter 2023","","Dealings including private road"
5728,"Residential Land(Land Only)","Residential Area","13117","Tokyo","Kita Ward","Kamiya","Higashijujo","7",47000000,"","75",620000,"Rectangular Shaped","5.0","","","","","House","Southwest","Private Road",4.0,"Category I Residential Zone",60,200,"2nd quarter 2023","","Dealings including private road"
5729,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Kamiya","Higashijujo","6",23000000,"1K","25",,"","","","2015","RC","House","Other","","",,"Neighborhood Commercial Zone",80,400,"2nd quarter 2023","Not yet",""
5730,"Residential Land(Land and Building)","Commercial Area","13117","Tokyo","Kita Ward","Kamiya","Higashijujo","12",68000000,"","50",,"Semi-rectangular Shaped","6.0","85","2023","W","House","House","South","Ward Road",9.2,"Neighborhood Commercial Zone",80,300,"1st quarter 2023","",""
5731,"Residential Land(Land and Building)","Residential Area","13117","Tokyo","Kita Ward","Kamiya","Higashijujo","10",150000000,"","350",,"Semi-trapezoidal Shaped","18.9","320","1995","LS","Housing Complex","House","West","Ward Road",4.5,"Category I Residential Zone",60,200,"1st quarter 2023","","Dealings including private road"
5732,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Kamiya","Higashijujo","9",40000000,"3LDK","60",,"","","","1997","SRC","House","House","","",,"Neighborhood Commercial Zone",80,400,"1st quarter 2023","Not yet",""
5733,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Kamiya","Higashijujo","6",25000000,"1K","25",,"","","","2015","RC","House","House","","",,"Neighborhood Commercial Zone",80,400,"1st quarter 2023","Not yet",""
5734,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Kishimachi","Oji","3",28000000,"1K","25",,"","","","2010","RC","House","House","","",,"Commercial Zone",80,400,"1st quarter 2023","Not yet",""
5735,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Sakaecho","Kajiwara","5",49000000,"2LDK","50",,"","","","2017","RC","House","House","","",,"Quasi-industrial Zone",60,200,"2nd quarter 2023","Done",""
5736,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Sakaecho","Kajiwara","5",26000000,"1K","25",,"","","","2017","RC","House","House","","",,"Quasi-industrial Zone",60,200,"2nd quarter 2023","",""
5737,"Residential Land(Land and Building)","Commercial Area","13117","Tokyo","Kita Ward","Sakaecho","Sakaecho (Tokyo)","1",45000000,"","50",,"Rectangular Shaped","","75","2011","","","House","Southeast","Ward Road",3.7,"Quasi-industrial Zone",60,200,"2nd quarter 2023","",""
5738,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Shimo","Akabane","7",22000000,"1K","25",,"","","","2013","RC","House","House","","",,"Neighborhood Commercial Zone",80,300,"2nd quarter 2023","Not yet",""
5739,"Residential Land(Land Only)","Residential Area","13117","Tokyo","Kita Ward","Shimo","Akabaneiwabuchi","7",60000000,"","65",920000,"Trapezoidal Shaped","8.2","","","","","House","East","Private Road",4.5,"Commercial Zone",80,500,"2nd quarter 2023","",""
5740,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Shimo","Akabaneiwabuchi","7",37000000,"2LDK","50",,"","","","1998","SRC","House","House","","",,"Commercial Zone",80,500,"2nd quarter 2023","Not yet",""
5741,"Residential Land(Land Only)","Residential Area","13117","Tokyo","Kita Ward","Shimo","Akabaneiwabuchi","7",45000000,"","75",590000,"Semi-rectangular Shaped","9.3","","","","","","South","Private Road",3.3,"Category I Residential Zone",60,200,"1st quarter 2023","",""
5742,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Shimo","Akabaneiwabuchi","6",57000000,"3LDK","60",,"","","","2016","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Done",""
5743,"Residential Land(Land Only)","Commercial Area","13117","Tokyo","Kita Ward","Shimo","Shimo","1",100000000,"","80",1200000,"Semi-square Shaped","9.1","","","","","House","South","Ward Road",7.1,"Commercial Zone",80,500,"2nd quarter 2023","",""
5744,"Residential Land(Land Only)","Commercial Area","13117","Tokyo","Kita Ward","Shimo","Shimo","6",54000000,"","80",680000,"Rectangular Shaped","8.0","","","","","House","North","Ward Road",7.2,"Neighborhood Commercial Zone",80,300,"2nd quarter 2023","",""
5745,"Residential Land(Land and Building)","Residential Area","13117","Tokyo","Kita Ward","Shimo","Shimo","6",83000000,"","70",,"Semi-rectangular Shaped","9.3","110","2023","W","House","House","North","Private Road",5.4,"Category I Residential Zone",60,200,"2nd quarter 2023","","Dealings including private road"
5746,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Shimo","Shimo","3",30000000,"3LDK","65",,"","","","1981","SRC","House","House","","",,"Quasi-industrial Zone",60,200,"2nd quarter 2023","Not yet",""
5747,"Residential Land(Land and Building)","Residential Area","13117","Tokyo","Kita Ward","Shimo","Shimo","4",46000000,"","90",,"Semi-rectangular Shaped","8.0","100","1996","W","House","House","South","Private Road",3.7,"Quasi-industrial Zone",60,300,"1st quarter 2023","",""
5748,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Shimo","Shimo","3",21000000,"","25",,"","","","2011","SRC","","House","","",,"Commercial Zone",80,500,"1st quarter 2023","",""
5749,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Shimo","Shimo","3",20000000,"2LDK","45",,"","","","1990","RC","House","House","","",,"Category I Exclusively Medium-high Residential Zone",60,200,"1st quarter 2023","Not yet",""
5750,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Shimo","Shimo","3",33000000,"1LDK","45",,"","","","1990","RC","House","House","","",,"Category I Exclusively Medium-high Residential Zone",60,200,"1st quarter 2023","Done",""
5751,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Shimo","Shimo","0",45000000,"2LDK","45",,"","","","2019","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
5752,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Shimo","Shimo","3",23000000,"1K","25",,"","","","2009","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
5753,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Shimo","Shimo","2",48000000,"3LDK","60",,"","","","2007","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
5754,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Shimo","Shimo","7",49000000,"4LDK","80",,"","","","2004","SRC","House","House","","",,"Industrial Zone",60,200,"1st quarter 2023","Not yet",""
5755,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Jujodai","Oji","10",70000000,"3LDK","75",,"","","","2007","RC","House","","","",,"Category I Exclusively Medium-high Residential Zone",60,200,"1st quarter 2023","Not yet",""
5756,"Residential Land(Land Only)","Commercial Area","13117","Tokyo","Kita Ward","Jujonakahara","Jujo (Tokyo)","4",49000000,"","50",1000000,"Rectangular Shaped","4.0","","","","","House","South","Ward Road",11.0,"Commercial Zone",80,500,"2nd quarter 2023","","Dealings including private road"
5757,"Residential Land(Land Only)","Residential Area","13117","Tokyo","Kita Ward","Jujonakahara","Jujo (Tokyo)","12",43000000,"","55",770000,"Semi-shaped","10.1","","","","","House","West","Ward Road",4.5,"Category I Exclusively Medium-high Residential Zone",60,150,"2nd quarter 2023","",""
5758,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Jujonakahara","Jujo (Tokyo)","8",27000000,"","25",,"","","","2017","RC","House","House","","",,"Neighborhood Commercial Zone",80,400,"2nd quarter 2023","",""
5759,"Residential Land(Land Only)","Residential Area","13117","Tokyo","Kita Ward","Jujonakahara","Jujo (Tokyo)","6",17000000,"","30",570000,"Semi-rectangular Shaped","1.2","","","","","Other","East","Ward Road",3.5,"Category I Residential Zone",60,200,"1st quarter 2023","",""
5760,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Jujonakahara","Higashijujo","11",30000000,"","65",,"","","","2001","RC","","","","",,"Category I Exclusively Medium-high Residential Zone",60,150,"2nd quarter 2023","",""
5761,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Showamachi","Arakawashakomae","3",25000000,"1K","25",,"","","","2016","RC","House","House","","",,"Quasi-industrial Zone",60,300,"2nd quarter 2023","Not yet",""
5762,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Showamachi","Arakawashakomae","3",39000000,"2DK","50",,"","","","2016","RC","House","House","","",,"Quasi-industrial Zone",60,300,"1st quarter 2023","Not yet",""
5763,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Showamachi","Oku","2",50000000,"3LDK","65",,"","","","2000","SRC","House","House","","",,"Commercial Zone",80,500,"2nd quarter 2023","Done",""
5764,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Showamachi","Oku","3",25000000,"1R","35",,"","","","2008","RC","House","House","","",,"Commercial Zone",80,500,"2nd quarter 2023","Not yet","Dealings in which auction or arbiter participates"
5765,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Showamachi","Oku","3",33000000,"1LDK","50",,"","","","2010","RC","House","House","","",,"Quasi-industrial Zone",60,300,"2nd quarter 2023","Done",""
5766,"Residential Land(Land Only)","Commercial Area","13117","Tokyo","Kita Ward","Showamachi","Oku","3",43000000,"","90",470000,"Rectangular Shaped","","","","","","","Northwest","Ward Road",6.8,"Quasi-industrial Zone",60,300,"1st quarter 2023","",""
5767,"Residential Land(Land and Building)","Commercial Area","13117","Tokyo","Kita Ward","Showamachi","Oku","3",500000000,"","320",,"Rectangular Shaped","14.0","310","1960","S","House, Warehouse, Shop","House","Southwest","Tokyo Metropolitan Road",22.0,"Commercial Zone",80,500,"1st quarter 2023","",""
5768,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Showamachi","Oku","3",23000000,"1K","25",,"","","","2010","RC","House","House","","",,"Quasi-industrial Zone",60,300,"1st quarter 2023","Done",""
5769,"Residential Land(Land and Building)","Commercial Area","13117","Tokyo","Kita Ward","Takinogawa","Itabashi","3",33000000,"","35",,"Rectangular Shaped","","45","","W","Shop","Shop","South","Private Road",4.0,"Category I Residential Zone",60,300,"2nd quarter 2023","",""
5770,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Takinogawa","Itabashi","2",16000000,"1K","15",,"","","","1994","SRC","House","House","","",,"Commercial Zone",80,500,"2nd quarter 2023","Done",""
5771,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Takinogawa","Itabashi","4",35000000,"1LDK","30",,"","","","2012","RC","","House","","",,"Neighborhood Commercial Zone",80,400,"2nd quarter 2023","Done",""
5772,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Takinogawa","Itabashi","4",27000000,"1K","25",,"","","","2016","RC","House","House","","",,"Category I Residential Zone",60,300,"2nd quarter 2023","",""
5773,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Takinogawa","Itabashi","5",28000000,"1K","25",,"","","","2017","RC","House","House","","",,"Neighborhood Commercial Zone",80,400,"2nd quarter 2023","Not yet",""
5774,"Residential Land(Land and Building)","Commercial Area","13117","Tokyo","Kita Ward","Takinogawa","Itabashi","3",70000000,"","60",,"Rectangular Shaped","4.4","150","1974","RC","Housing Complex, Shop","Other","Southwest","Ward Road",8.6,"Neighborhood Commercial Zone",80,400,"1st quarter 2023","",""
5775,"Residential Land(Land and Building)","Commercial Area","13117","Tokyo","Kita Ward","Takinogawa","Itabashi","4",28000000,"","35",,"Semi-rectangular Shaped","4.5","45","1975","W","House, Shop","Shop","Southwest","Private Road",4.0,"Category I Residential Zone",60,300,"1st quarter 2023","",""
5776,"Residential Land(Land Only)","Residential Area","13117","Tokyo","Kita Ward","Takinogawa","Itabashi","5",19000000,"","60",330000,"Semi-rectangular Shaped","4.0","","","","","","North","Private Road",4.0,"Category I Residential Zone",60,300,"1st quarter 2023","",""
5777,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Takinogawa","Itabashi","5",20000000,"1K","25",,"","","","2008","RC","House","Other","","",,"Neighborhood Commercial Zone",80,400,"1st quarter 2023","Not yet",""
5778,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Takinogawa","Itabashi","5",25000000,"1K","25",,"","","","2017","RC","House","House","","",,"Neighborhood Commercial Zone",80,400,"1st quarter 2023","",""
5779,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Takinogawa","Itabashi","3",68000000,"3LDK","65",,"","","","2002","SRC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Done",""
5780,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Takinogawa","Oji","8",24000000,"1DK","30",,"","","","1993","SRC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
5781,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Takinogawa","Oji","4",76000000,"3LDK","75",,"","","","2010","RC","House","House","","",,"Category I Exclusively Medium-high Residential Zone",60,200,"1st quarter 2023","Not yet",""
5782,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Takinogawa","Shin-itabashi","5",20000000,"1K","20",,"","","","2007","RC","House","House","","",,"Commercial Zone",80,600,"2nd quarter 2023","Not yet",""
5783,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Takinogawa","Shin-itabashi","10",21000000,"1K","20",,"","","","2006","RC","House","Other","","",,"Neighborhood Commercial Zone",80,300,"2nd quarter 2023","Done",""
5784,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Takinogawa","Shin-itabashi","1H-1H30",27000000,"1K","20",,"","","","2020","RC","House","House","","",,"Commercial Zone",80,600,"2nd quarter 2023","Not yet",""
5785,"Residential Land(Land and Building)","Commercial Area","13117","Tokyo","Kita Ward","Takinogawa","Shin-itabashi","13",170000000,"","135",,"Irregular Shaped","6.8","270","2004","RC","Housing Complex, Shop","House","Northeast","Ward Road",8.0,"Neighborhood Commercial Zone",80,300,"1st quarter 2023","","Dealings including private road"
5786,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Takinogawa","Shin-itabashi","3",47000000,"3LDK","60",,"","","","1997","SRC","House","House","","",,"Commercial Zone",80,600,"1st quarter 2023","Done",""
5787,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Takinogawa","Shin-itabashi","5",40000000,"2LDK","55",,"","","","1997","SRC","House","House","","",,"Commercial Zone",80,600,"1st quarter 2023","Done",""
5788,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Takinogawa","Takinogawa 1-chome","4",20000000,"1K","25",,"","","","2008","RC","House","Other","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
5789,"Residential Land(Land Only)","Residential Area","13117","Tokyo","Kita Ward","Takinogawa","Nishisugamo","8",51000000,"","45",1100000,"Rectangular Shaped","","","","","","Other","Northwest","Private Road",,"Category I Exclusively Medium-high Residential Zone",60,200,"2nd quarter 2023","",""
5790,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Takinogawa","Nishisugamo","3",65000000,"2LDK","60",,"","","","2013","RC","House","House","","",,"Commercial Zone",80,600,"2nd quarter 2023","Not yet",""
5791,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Takinogawa","Nishisugamo","4",21000000,"1K","20",,"","","","2009","RC","House","House","","",,"Commercial Zone",80,600,"2nd quarter 2023","Not yet",""
5792,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Takinogawa","Nishisugamo","4",23000000,"1K","20",,"","","","2006","RC","House","House","","",,"Commercial Zone",80,600,"2nd quarter 2023","Not yet",""
5793,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Takinogawa","Nishisugamo","4",36000000,"1DK","35",,"","","","1992","SRC","House","House","","",,"Commercial Zone",80,600,"2nd quarter 2023","Done",""
5794,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Takinogawa","Nishisugamo","3",21000000,"1K","25",,"","","","2009","RC","House","House","","",,"Commercial Zone",80,600,"2nd quarter 2023","Done",""
